Year,Week,WeekOfYear,State,Chlamydia,Gonorrhea,Syphilis,HIV,TotalSTI
2021,171,15,Tennessee,957,287,18,9,1271
2021,172,16,Tennessee,865,439,50,21,1375
2021,173,17,Tennessee,1000,524,60,20,1604
2021,174,18,Tennessee,879,412,63,19,1373
2021,175,19,Tennessee,857,420,59,19,1355
2021,176,20,Tennessee,935,440,58,14,1447
2021,177,21,Tennessee,718,356,39,14,1127
2021,178,22,Tennessee,535,296,35,6,872
2021,179,23,Tennessee,804,349,48,16,1217
2021,180,24,Tennessee,707,381,93,22,1203
2021,181,25,Tennessee,858,489,113,18,1478
2021,182,26,Tennessee,798,379,113,13,1303
2021,183,27,Tennessee,564,337,82,15,998
2021,184,28,Tennessee,815,342,87,16,1260
2021,185,29,Tennessee,920,450,79,25,1474
2021,186,30,Tennessee,1003,476,47,7,1533
2021,187,31,Tennessee,1005,404,32,0,1441
2021,188,32,Tennessee,891,355,40,30,1316
2021,189,33,Tennessee,664,349,61,19,1093
2021,190,34,Tennessee,819,423,97,30,1369
2021,191,35,Tennessee,728,338,79,10,1155
2021,192,36,Tennessee,583,296,56,10,945
2021,193,37,Tennessee,781,378,79,17,1255
2021,194,38,Tennessee,720,291,19,20,1050
2021,195,39,Tennessee,361,330,56,16,763
2021,196,40,Tennessee,1172,382,72,17,1643
2021,197,41,Tennessee,735,330,67,28,1160
2021,198,42,Tennessee,757,341,94,17,1209
2021,199,43,Tennessee,515,264,66,19,864
2021,200,44,Tennessee,760,361,42,26,1189
2021,201,45,Tennessee,529,250,39,17,835
2021,202,46,Tennessee,935,140,59,11,1145
2021,203,47,Tennessee,553,551,38,18,1160
2021,204,48,Tennessee,675,286,57,19,1037
2021,205,49,Tennessee,830,402,46,12,1290
2021,206,50,Tennessee,624,241,53,24,942
2021,207,51,Tennessee,489,196,41,9,735
2021,208,52,Tennessee,194,273,44,0,280
2022,209,1,Tennessee,299,160,6,0,465
2022,210,2,Tennessee,444,207,10,0,661
2022,211,3,Tennessee,592,273,25,6,896
2022,212,4,Tennessee,531,279,34,13,857
2022,213,5,Tennessee,510,227,31,6,774
2022,214,6,Tennessee,680,303,47,17,1047
2022,215,7,Tennessee,631,285,23,13,952
2022,216,8,Tennessee,539,230,38,9,816
2022,217,9,Tennessee,753,316,63,11,1380
2022,218,10,Tennessee,566,316,48,25,718
2022,219,11,Tennessee,598,247,52,16,913
2022,220,12,Tennessee,661,245,54,22,978
2022,221,13,Tennessee,566,251,45,10,873
2022,222,14,Tennessee,587,233,34,19,871
2022,223,15,Tennessee,913,374,72,26,1385
2022,224,16,Tennessee,478,194,41,24,738
2022,225,17,Tennessee,812,323,85,14,1232
2022,226,18,Tennessee,450,198,58,26,738
2022,227,19,Tennessee,829,329,91,12,1261
2022,228,20,Tennessee,521,215,72,26,834
2022,229,21,Tennessee,542,262,77,15,896
2022,230,22,Tennessee,668,305,56,9,1038
2022,231,23,Tennessee,683,264,69,10,1026
2022,232,24,Tennessee,666,317,76,18,1077
2022,233,25,Tennessee,774,348,85,20,1227
2022,234,26,Tennessee,680,284,108,24,1096
2022,235,27,Tennessee,539,237,52,17,845
2022,236,28,Tennessee,603,300,100,24,1027
2022,237,29,Tennessee,561,261,55,13,890
2022,238,30,Tennessee,741,319,122,25,1207
2022,239,31,Tennessee,627,277,57,14,975
2022,240,32,Tennessee,646,242,138,2,1028
2022,241,33,Tennessee,470,208,61,15,754
2022,242,34,Tennessee,906,342,110,12,1370
2022,243,35,Tennessee,356,155,70,0,581
2022,244,36,Tennessee,623,249,72,12,956
2022,245,37,Tennessee,732,309,122,17,1180
2022,246,38,Tennessee,778,314,83,21,1196
2022,248,40,Tennessee,543,242,76,25,886
2022,249,41,Tennessee,609,263,44,36,952
2022,250,42,Tennessee,651,246,93,16,1006
2022,251,43,Tennessee,562,256,60,8,886
2022,252,44,Tennessee,733,295,107,16,1151
2022,253,45,Tennessee,409,151,32,13,605
2022,254,46,Tennessee,753,272,107,16,1148
2022,255,47,Tennessee,472,205,50,14,741
2022,256,48,Tennessee,530,244,81,20,875
2022,257,49,Tennessee,407,158,77,20,662
2022,258,50,Tennessee,755,280,64,15,1114
2022,259,51,Tennessee,510,203,64,0,352
2022,260,52,Tennessee,300,62,33,22,242
2023,261,1,Tennessee,110,53,1,0,164
2023,262,2,Tennessee,269,106,10,10,395
2023,263,3,Tennessee,455,116,12,10,593
2023,264,4,Tennessee,586,288,30,17,921
2023,265,5,Tennessee,572,218,32,15,837
2023,266,6,Tennessee,734,252,32,15,1033
2023,267,7,Tennessee,873,315,38,22,1248
2023,268,8,Tennessee,571,221,56,13,861
2023,269,9,Tennessee,880,359,81,17,1337
2023,270,10,Tennessee,756,288,51,23,1118
2023,271,11,Tennessee,818,330,116,14,1278
2023,272,12,Tennessee,363,118,44,36,561
2023,273,13,Tennessee,972,294,111,15,1392
2023,274,14,Tennessee,410,137,45,18,610
2023,275,15,Tennessee,770,264,73,9,1116
2023,276,16,Tennessee,720,273,38,17,1048
2023,277,17,Tennessee,419,142,77,14,652
2023,278,18,Tennessee,755,219,98,27,1099
2023,279,19,Tennessee,950,300,104,15,1369
